sku,product_name,selling_price,selling_date,quantity,discount_amount,total,net
2,Darling Fluffy Kinky,470.96,14/02/2025,9,0.0,4238.64,4238.64
9,Amara body lotion milk,154.744,23/02/2025,20,61.9,3094.88,3032.98
2,Darling Fluffy Kinky,470.96,24/02/2025,16,0.0,7535.36,7535.36
41,L'Oreal Paris Pure Clay Detox Mask,8007.6656,20/02/2025,4,640.61,32030.66,31390.05
3,Angels Natural Locs,740.08,15/02/2025,21,310.83,15541.68,15230.85
29,MAYBELLINE COLOR SENSATIONAL VIVID HOT LACQUER 68 SASSY,1345.6,16/02/2025,10,0.0,13456.0,13456.0
38,L'Oreal Paris Age Perfect Night Cream 50Ml,1391.3504,04/02/2025,15,417.41,20870.26,20452.85
25,MAYBELLINE LASH SENSATIONAL MASCARA,1076.48,16/02/2025,3,0.0,3229.44,3229.44
36,L'Oreal Paris Age Perfect Day Cream 50Ml,10440.5104,27/02/2025,20,0.0,208810.21,208810.21
20,MAYBELLINE FIT ME CONCEALER 30 CAFE,1076.48,21/02/2025,6,129.18,6458.88,6329.7
27,MAYBELLINE BABY LIPS BALM CHERRY ME,336.4,10/02/2025,7,47.1,2354.8,2307.7
17,MAYBELLINE FIT ME POWDER 330 TOFFEE ,1255.4448,26/02/2025,13,326.42,16320.78,15994.36
20,MAYBELLINE FIT ME CONCEALER 30 CAFE,1076.48,23/02/2025,3,64.59,3229.44,3164.85
8,Radiant Anti-dandruff,107.648,25/02/2025,24,0.0,2583.55,2583.55
19,MAYBELLINE FIT ME CONCEALER 05 IVORY,1076.48,28/02/2025,6,0.0,6458.88,6458.88
23,MAYBELLINE CRAYON KHOL COLOSSAL KAJAL SMOKY,1076.48,03/02/2025,24,0.0,25835.52,25835.52
22,MAYBELLINE MASTER STROBING STICK NU 200 MEDIUM,1345.6,04/02/2025,12,322.94,16147.2,15824.26
28,MAYBELLINE BABY LIPS STRIKE A ROSE (ELECTRO),336.4,16/02/2025,11,74.01,3700.4,3626.39
22,MAYBELLINE MASTER STROBING STICK NU 200 MEDIUM,1345.6,14/02/2025,15,0.0,20184.0,20184.0
31,Garnier Even & Matte Soft Smoothing Toner 125 Ml,1412.88,11/02/2025,15,0.0,21193.2,21193.2
2,Darling Fluffy Kinky,470.96,08/02/2025,1,9.42,470.96,461.54
36,L'Oreal Paris Age Perfect Day Cream 50Ml,10440.5104,21/02/2025,9,1879.29,93964.59,92085.3
29,MAYBELLINE COLOR SENSATIONAL VIVID HOT LACQUER 68 SASSY,1345.6,28/02/2025,6,0.0,8073.6,8073.6
14,Movit Styling Gel,188.384,02/02/2025,16,0.0,3014.14,3014.14
4,Tamasha Dread,376.768,07/02/2025,10,75.35,3767.68,3692.33
25,MAYBELLINE LASH SENSATIONAL MASCARA,1076.48,13/02/2025,24,0.0,25835.52,25835.52
36,L'Oreal Paris Age Perfect Day Cream 50Ml,10440.5104,28/02/2025,1,0.0,10440.51,10440.51
16,MAYBELLINE FIT ME MATTE AND PORELESS FOUNDATION,1255.4448,13/02/2025,11,0.0,13809.89,13809.89
28,MAYBELLINE BABY LIPS STRIKE A ROSE (ELECTRO),336.4,04/02/2025,17,114.38,5718.8,5604.42
4,Tamasha Dread,376.768,11/02/2025,21,0.0,7912.13,7912.13
40,L'Oreal Paris Revitalift Day Cream 50Ml,3248.2784,20/02/2025,13,0.0,42227.62,42227.62
25,MAYBELLINE LASH SENSATIONAL MASCARA,1076.48,17/02/2025,18,0.0,19376.64,19376.64
19,MAYBELLINE FIT ME CONCEALER 05 IVORY,1076.48,09/02/2025,7,150.71,7535.36,7384.65
3,Angels Natural Locs,740.08,23/02/2025,17,0.0,12581.36,12581.36
27,MAYBELLINE BABY LIPS BALM CHERRY ME,336.4,23/02/2025,16,0.0,5382.4,5382.4
24,MAYBELLINE EYE STUDIO GEL LINER BLACK  BLACK,807.36,25/02/2025,11,177.62,8880.96,8703.34
19,MAYBELLINE FIT ME CONCEALER 05 IVORY,1076.48,11/02/2025,10,0.0,10764.8,10764.8
29,MAYBELLINE COLOR SENSATIONAL VIVID HOT LACQUER 68 SASSY,1345.6,20/02/2025,21,565.15,28257.6,27692.45
10,Amara body lotion men,269.12,04/02/2025,21,0.0,5651.52,5651.52
9,Amara body lotion milk,154.744,20/02/2025,8,24.76,1237.95,1213.19
29,MAYBELLINE COLOR SENSATIONAL VIVID HOT LACQUER 68 SASSY,1345.6,02/02/2025,14,0.0,18838.4,18838.4
32,Garnier Micellar Cleansing Water 400 Ml,2623.92,04/02/2025,4,209.91,10495.68,10285.77
11,Amara body lotion coco butter,269.12,08/02/2025,9,48.44,2422.08,2373.64
9,Amara body lotion milk,154.744,11/02/2025,20,0.0,3094.88,3094.88
36,L'Oreal Paris Age Perfect Day Cream 50Ml,10440.5104,05/02/2025,12,0.0,125286.12,125286.12
32,Garnier Micellar Cleansing Water 400 Ml,2623.92,15/02/2025,14,734.7,36734.88,36000.18
2,Darling Fluffy Kinky,470.96,17/02/2025,12,113.03,5651.52,5538.49
34,Garnier Pure Active Intensive Spots,15105.7056,04/02/2025,4,1208.46,60422.82,59214.36
38,L'Oreal Paris Age Perfect Night Cream 50Ml,1391.3504,25/02/2025,2,55.65,2782.7,2727.05
32,Garnier Micellar Cleansing Water 400 Ml,2623.92,28/02/2025,2,0.0,5247.84,5247.84
