sku,name,Brand,Category,Month,Year,default_price,net_selling_price
1,Angels Avis Long,Angels,HAIR BRAIDS,Jan,2024,70,
2,Darling Fluffy Kinky,Darling,HAIR BRAIDS,Jan,2024,350,
3,Angels Natural Locs,Angels,HAIR BRAIDS,Jan,2024,550,
4,Tamasha Dread,Angels,HAIR BRAIDS,Jan,2024,280,
6,Baby Love Anti-dandruffs,Bamsi,HAIR FOOD,Jan,2024,260,
7,Bamsi Hair fertilizer,Bamsi,HAIR FOOD,Jan,2024,50,
8,Radiant Anti-dandruff,Radiant,HAIR FOOD,Jan,2024,80,
9,Amara body lotion milk,Amara,BODY LOTION,Jan,2024,115,
10,Amara body lotion men,Amara,BODY LOTION,Jan,2024,200,
11,Amara body lotion coco butter,Amara,BODY LOTION,Jan,2024,200,
13,Movit Curl Gel,Movit,HAIR GELS,Jan,2024,190,
14,Movit Styling Gel,Movit,HAIR GELS,Jan,2024,140,
15,MAYBELLINE DREAM MATTE MOUSSE HAZELNUT,Maybelline,Foundation,Jan,2024,1000,
16,MAYBELLINE FIT ME MATTE AND PORELESS FOUNDATION,Maybelline,Foundation,Jan,2024,933,
17,MAYBELLINE FIT ME POWDER 330 TOFFEE ,Maybelline,Powder,Jan,2024,933,
18,MAYBELLINE FIT ME POWDER 340 CAPPUCCINO ,Maybelline,Powder,Jan,2024,933,
19,MAYBELLINE FIT ME CONCEALER 05 IVORY,Maybelline,Concealer,Jan,2024,800,
20,MAYBELLINE FIT ME CONCEALER 30 CAFE,Maybelline,Concealer,Jan,2024,800,
21,MAYBELLINE MASTER CHROME METAL HIGHLIGHTER,Maybelline,Highlighter,Jan,2024,933,
22,MAYBELLINE MASTER STROBING STICK NU 200 MEDIUM,Maybelline,Highlighter,Jan,2024,1000,
23,MAYBELLINE CRAYON KHOL COLOSSAL KAJAL SMOKY,Maybelline,Eye Liner,Jan,2024,800,
24,MAYBELLINE EYE STUDIO GEL LINER BLACK  BLACK,Maybelline,Eye Liner,Jan,2024,600,
25,MAYBELLINE LASH SENSATIONAL MASCARA,Maybelline,Mascara,Jan,2024,800,
26,MAYBELLINE VOLUME EXPRESS MASCARA BLACK,Maybelline,Mascara,Jan,2024,1000,
27,MAYBELLINE BABY LIPS BALM CHERRY ME,Maybelline,Lip balm,Jan,2024,250,
28,MAYBELLINE BABY LIPS STRIKE A ROSE (ELECTRO),Maybelline,Lip balm,Jan,2024,250,
29,MAYBELLINE COLOR SENSATIONAL VIVID HOT LACQUER 68 SASSY,Maybelline,Lip Gloss,Jan,2024,1000,
30,MAYBELLINE COLOR SENSATIONAL VIVID HOT LACQUER 70 SO HOT,Maybelline,Lip Gloss,Jan,2024,1000,
31,Garnier Even & Matte Soft Smoothing Toner 125 Ml,Garnier,Face Wash,Jan,2024,1050,
32,Garnier Micellar Cleansing Water 400 Ml,Garnier,Face Wash,Jan,2024,1950,
33,Garnier oil control complete vanishing cream 40 ml,Garnier,Face Cream,Jan,2024,2069,
34,Garnier Pure Active Intensive Spots,Garnier,Face Cream,Jan,2024,11226,
35,Garnier ven & matte soft smoothing 125 ml,Garnier,Face Cream,Jan,2024,338,
36,L'Oreal Paris Age Perfect Day Cream 50Ml,L'Oreal,Face Cream,Jan,2024,7759,
37,L'Oreal Paris Age Perfect Eye Cream 15Ml,L'Oreal,Face Cream,Jan,2024,1034,
38,L'Oreal Paris Age Perfect Night Cream 50Ml,L'Oreal,Face Cream,Jan,2024,1034,
40,L'Oreal Paris Revitalift Day Cream 50Ml,L'Oreal,Face Cream,Jan,2024,2414,
41,L'Oreal Paris Pure Clay Detox Mask,L'Oreal,Face Cream,Jan,2024,5951,
