sku,name,default_price,net_selling_price,month,year,wholesale_pct,distributor_pct,tax_pct,commission_pct,distcost_pct,marketing_pct,salaries_pct,rent_pct,other_pct
1,Angels Avis Long,81.2,94.192,2,2025,0,0,16,0,0,0,0,0,0
2,Darling Fluffy Kinky,406,470.96,2,2025,0,0,16,0,0,0,0,0,0
3,Angels Natural Locs,638,740.08,2,2025,0,0,16,0,0,0,0,0,0
4,Tamasha Dread,324.8,376.768,2,2025,0,0,16,0,0,0,0,0,0
6,Baby Love Anti-dandruffs,301.6,349.856,2,2025,0,0,16,0,0,0,0,0,0
7,Bamsi Hair fertilizer,58,67.28,2,2025,0,0,16,0,0,0,0,0,0
8,Radiant Anti-dandruff,92.8,107.648,2,2025,0,0,16,0,0,0,0,0,0
9,Amara body lotion milk,133.4,154.744,2,2025,0,0,16,0,0,0,0,0,0
10,Amara body lotion men,232,269.12,2,2025,0,0,16,0,0,0,0,0,0
11,Amara body lotion coco butter,232,269.12,2,2025,0,0,16,0,0,0,0,0,0
13,Movit Curl Gel,220.4,255.664,2,2025,0,0,16,0,0,0,0,0,0
14,Movit Styling Gel,162.4,188.384,2,2025,0,0,16,0,0,0,0,0,0
15,MAYBELLINE DREAM MATTE MOUSSE HAZELNUT,1160,1345.6,2,2025,0,0,16,0,0,0,0,0,0
16,MAYBELLINE FIT ME MATTE AND PORELESS FOUNDATION,1082.28,1255.4448,2,2025,0,0,16,0,0,0,0,0,0
17,MAYBELLINE FIT ME POWDER 330 TOFFEE ,1082.28,1255.4448,2,2025,0,0,16,0,0,0,0,0,0
18,MAYBELLINE FIT ME POWDER 340 CAPPUCCINO ,1082.28,1255.4448,2,2025,0,0,16,0,0,0,0,0,0
19,MAYBELLINE FIT ME CONCEALER 05 IVORY,928,1076.48,2,2025,0,0,16,0,0,0,0,0,0
20,MAYBELLINE FIT ME CONCEALER 30 CAFE,928,1076.48,2,2025,0,0,16,0,0,0,0,0,0
21,MAYBELLINE MASTER CHROME METAL HIGHLIGHTER,1082.28,1255.4448,2,2025,0,0,16,0,0,0,0,0,0
22,MAYBELLINE MASTER STROBING STICK NU 200 MEDIUM,1160,1345.6,2,2025,0,0,16,0,0,0,0,0,0
23,MAYBELLINE CRAYON KHOL COLOSSAL KAJAL SMOKY,928,1076.48,2,2025,0,0,16,0,0,0,0,0,0
24,MAYBELLINE EYE STUDIO GEL LINER BLACK  BLACK,696,807.36,2,2025,0,0,16,0,0,0,0,0,0
25,MAYBELLINE LASH SENSATIONAL MASCARA,928,1076.48,2,2025,0,0,16,0,0,0,0,0,0
26,MAYBELLINE VOLUME EXPRESS MASCARA BLACK,1160,1345.6,2,2025,0,0,16,0,0,0,0,0,0
27,MAYBELLINE BABY LIPS BALM CHERRY ME,290,336.4,2,2025,0,0,16,0,0,0,0,0,0
28,MAYBELLINE BABY LIPS STRIKE A ROSE (ELECTRO),290,336.4,2,2025,0,0,16,0,0,0,0,0,0
29,MAYBELLINE COLOR SENSATIONAL VIVID HOT LACQUER 68 SASSY,1160,1345.6,2,2025,0,0,16,0,0,0,0,0,0
30,MAYBELLINE COLOR SENSATIONAL VIVID HOT LACQUER 70 SO HOT,1160,1345.6,2,2025,0,0,16,0,0,0,0,0,0
31,Garnier Even & Matte Soft Smoothing Toner 125 Ml,1218,1412.88,2,2025,0,0,16,0,0,0,0,0,0
32,Garnier Micellar Cleansing Water 400 Ml,2262,2623.92,2,2025,0,0,16,0,0,0,0,0,0
33,Garnier oil control complete vanishing cream 40 ml,2400.04,2784.0464,2,2025,0,0,16,0,0,0,0,0,0
34,Garnier Pure Active Intensive Spots,13022.16,15105.7056,2,2025,0,0,16,0,0,0,0,0,0
35,Garnier ven & matte soft smoothing 125 ml,392.08,454.8128,2,2025,0,0,16,0,0,0,0,0,0
36,L'Oreal Paris Age Perfect Day Cream 50Ml,9000.44,10440.5104,2,2025,0,0,16,0,0,0,0,0,0
37,L'Oreal Paris Age Perfect Eye Cream 15Ml,1199.44,1391.3504,2,2025,0,0,16,0,0,0,0,0,0
38,L'Oreal Paris Age Perfect Night Cream 50Ml,1199.44,1391.3504,2,2025,0,0,16,0,0,0,0,0,0
40,L'Oreal Paris Revitalift Day Cream 50Ml,2800.24,3248.2784,2,2025,0,0,16,0,0,0,0,0,0
41,L'Oreal Paris Pure Clay Detox Mask,6903.16,8007.6656,2,2025,0,0,16,0,0,0,0,0,0
